Time, Voltage, ADC
00:08:58,0.4616606,1882
00:08:59,0.4623932,1904
00:09:00,0.4608059,1936
00:09:01,0.4626374,1814
00:09:02,0.4650794,1920
00:09:03,0.4601954,1754
00:09:05,0.4630037,1857
00:09:06,0.4648352,1843
00:09:07,0.462149,1888
00:09:08,0.4623932,1933
00:09:09,0.4647131,1899
00:09:10,0.4617827,1975
00:09:11,0.4632479,1584
00:09:12,0.4688645,1939
00:09:13,0.462149,1917
00:09:15,0.4632479,1607
00:09:16,0.4636142,1919
00:09:17,0.4661783,1897
00:09:19,0.4648352,1791
00:09:20,0.4656899,1908
00:09:21,0.4666667,1296
00:09:22,0.4650794,1877
00:09:23,0.4669109,1898
00:09:24,0.4647131,1965
00:09:26,0.4606838,1966
00:09:27,0.4644689,1910
00:09:28,0.4608059,1921
00:09:29,0.462149,1943
00:09:30,0.4628816,1931
00:09:31,0.4615385,1889
00:09:32,0.4661783,1936
00:09:34,0.4649573,1723
00:09:35,0.4641026,1827
00:09:36,0.4655678,1926
00:09:37,0.4577534,1865
00:09:38,0.4649573,1650
00:09:39,0.4678877,1917
00:09:40,0.4627595,1968
00:09:41,0.4647131,1886
00:09:42,0.464591,1936
00:09:43,0.4634921,1975
00:09:44,0.4634921,1660
00:09:45,0.4689866,1878
00:09:46,0.4655678,2017
00:09:47,0.460928,1926
00:09:49,0.4664225,1904
00:09:50,0.4636142,1913
00:09:51,0.4608059,1942
00:09:52,0.4660562,1638
00:09:53,0.4656899,1791
00:09:54,0.4673993,1888
00:09:55,0.4653236,1982
00:09:56,0.4622711,1197
00:09:57,0.4675214,1946
00:09:58,0.4630037,1853
00:09:59,0.4604396,1856
00:10:00,0.4669109,1776
00:10:02,0.46337,1936
00:10:03,0.4653236,1939
00:10:04,0.4520147,1866
00:10:05,0.4711844,2038
00:10:06,0.4531136,1874

